review_title,review_detail,nickname,customer_id,product_id,status_code,rating,store_id,date
,"I WAS DOING REGULAR STRENGTH EMUAID;WHICH GAVE ME GREAT RESULTS.NOW I DO EMUMAX.IT GIVES ME 10X THE RESULTES OF STOPPING PAIN,INFLMATION,AND A OVER ALL SENSE OF WELL BEING.",R. Harper,,16,1,5,1,14-03-2013 13:34
,"I COULD SEE A BIG DIFFERENCE IN THIS PRODUCT.
IT HELPED ME  GET RID OF THE BOILS ON MY UNDERARMS.
IT WAS A BREEZE I  LOOKED AT MY RIGHT UNDERARM. AND THE BOIL WAS GONE THE NEXT DAY.
I HAD A BOIL ON MY SCALP NEXT TO THE LEFT EAR. AND IT HELPED BRING THAT DOWN ALSO.
SO THANK YOU VERY MUCH FOR THE OINTMENT. THE ORDERING &amp; THE SHIPPING WENT VERY WELL. MY THANKS &amp; PRAYERS GO OUT TO THE COMPANY FOR A JOB WELL DONE.",J.Grupe,,16,1,5,1,12-06-2013 17:11
,"At the beginning of the year, my daughter contracted Molluscum contagiosum.  I was told that there was nothing we could do for the condition &amp; it would go away in a couple of YEARS! :(  I googled home remedies, came across this website &amp; ordered immediately.  After just 2-3 WEEKS of using the Emuaid MAX, the molluscum had completely disappeared!  My daughter also has frequent bouts of eczema &amp; the Emuaid MAX clears that right up as well!  I found benefits for myself as well.  A few months ago I started to get acne on my arms (which I never had before) due to some hormones I was put on.  Since the Emuaid MAX cleared up my daughter's molluscum so quickly, I decided to try it on my acne.  It went away within DAYS of using the cream!  Now, every time I can feel a pimple starting to form on my face (which doesn't happen often), I dab a little on the spot &amp; the pimple disappears overnight.  This stuff is a miracle!!",aks07,,16,1,5,1,22-08-2013 17:53
,Can this product be used for Psoriasis?,MARIAM,4295,16,1,5,1,30-11-2013 19:05
,"The site works well. The products also work very well. Emuaid Homeopathic medicine (Small white jar with red lettering-Maximum strength)is the most curative medicine I have ever used. It works great on any skin condition. I also take the Emuaid First Defense Max capsules. I do not know if these pills help, or work at all, but I believe that maybe they are a good thing to use. I hope so anyways.
You have MY PERMISSION to use this testimonial as a very satisfied customer"" if you wish to do so.""",William Chevrette,,16,1,5,1,19-12-2013 13:35
,"My only regret is that I did not take a before and after picture.  I am completely amazed!  I BEG you parents to try this if your child has Molluscum!!  Last July my son contracted Molluscum contagiosum at camp.  It was under his arm and down his side.  It quickly spread and became infected more than once.  We had to put him on anitbiotics and steroid cream.  Nothing would make it go away though.  He was miserable.  He would sometimes lay in bed crying, in agony from it.  It hurt.  It burned.  It itched.  The doctor said it would take 1-2 years to go away.  He told us we could try taking Tagamet.  It helped in some kids, but it would take 2-3 months to even begin to make a difference, and even then it might not.  My son's case was so severe.  We made an appointment with a dermatologist but it would take 5 months to get in to see her.  He was so upset.  He was so desperate to get rid of this condition, he even said he would let the dermatologist burn, cut, freeze them off if that was the only way to get rid of them.  Understand the child had about 60+ of these.  I did all kinds of research online about the virus he'd contracted, and there really did seem to be no cure!  While waiting to get in with a dermatologist we faithfully gave him the Tagamet twice a day for months.  He didn't do a lot but it was all we had.  I was filling a prescription for more Tagamet about 3 weeks ago, when the Pharmacist found out what my child was taking it for, and she got SO excited.  Her child had had Molluscum too, and so did a niece.  She told me about Emuaid Max.  She said it was a miracle drug!   I looked it up online.  We had enough time to order it and try it for 7-8 days before the derm appointment.  WOW!!!!!  The Molluscum was 70% gone by the time we saw her.  Two nights ago he was down to 17.  Tonight, there are 7 places left and they are CLOSE to being gone.  PEOPLE HAVE GOT TO KNOW ABOUT THIS PRODUCT!!!!  I told both my pediatrician and the dermatologist.  This product is AMAZING!  We literally thank GOD for it!  Another couple of days and this condition that TORTURED my child since the 1st of July will be GONE.  Thank you, thank you, THANK YOU!!!!",JohnsMom,,16,1,5,1,28-01-2014 21:48
,"I had boils in my armpits two years ago, I went to the doctor and they thought that I had Lynphomic cancer,  They cut out five boils and bi-opcied them, they came out clear of cancer, but the healing process was horible.  I got boils again last year and didn't want to go through that ordeal again , so I found Emerald on the internet-read the reveiws and ordered the Max strength.  As soon as I applied it I found that the boils began to shrink, but the best thing was the pain went away.  I intially had 11 boils and one by one they shrunk and went away, some did form heads and discharge though which was better for faster healing.  I never thought when I bought this stuff that it would completely cure the problem.  It took about 45 days to get rid of all the boils, but it was painless--nothing like the holes the doctor left in me.
I have poor circulation in my legs and the swelling and redness hurts some times.  I tried Emerald Max and the swelling and  redness decreased almost over night.   I also had an infection on my ankle which started as a nerve ending iritation, it turned into a boil and came to a head, once that happened the emerald max took control of the wound and has almost cleared up the problem, in the beginning the pain was unbearable, but now there is no pain and the swelling is gone.

I would give your product a five star rating  it did everything you said it would do and more.  I have recommended it to other people who have cronic leg ulcers and redness from fluid pooling in there legs--They are amazed because the doctor gives them stuff to use and nothing happens, but emerald max helps in one application.

Thank you for this great product.
Gary",Gary,1289,16,1,5,1,15-02-2014 15:48
,"I freaked out when I found out my daughter had Molluscum because some people said that their child had it for 3-4 years. I have 3 kids and couldn't imagine this sticking around that long and passing from kid to kid. The EmuaidMax was everything I dreamed it would be. While I was waiting for it to come in the mail, I treated the Molluscum with Tea Tree Oil twice per day. It seemed to dry them out and they looked like they were going away slowly. Once the Emuaid arrived, I continued to use the tea tree oil as well as the Emuaid. The combination of these two treatments knocked it out in under a month. It is so important to be consistent with it. To keep it from spreading to my other kids or kids at school, I put her in pants everyday (hers was on her lower half). I also wore gloves to apply the treatment and washed her clothes, bath towels and sheets often.  I Love Emuaid!",SAlexis,,16,1,5,1,15-03-2014 14:38
,"I bought 2 jars of Emuaid Max in a desperate attempt to help my Mom's cellulitis, which tested positive for MRSA. It had spread to almost totally cover both legs from foot to thigh.  I tried the Emuaid, along with other silver products, which healed the oozing sores but not the redness. I was so disappointed because I had high hopes based on the reviews, and the stuff is expensive. Then her nurse said it looked like dermatitis and I remembered she's always been allergic to metal, which apparently includes silver. I looked at the ingredients in Emuaid and saw the silver and considered returning the product.  But my grandson had just gotten over ringworm he got from wrestling, so I decided to hold onto it just in case someone else in the house needed it. Then, since I'm Mom's care giver 24/7, I contracted MRSA too. I treated the boil with silver and tea tree oil and manuka honey, but the bandage adhesive irritated my skin and then a rash developed, looking very similar to Mom's cellulitis. I remembered the Emuaid and started applying it a few days ago, twice a day.  The redness diminished overnight, and continues to diminish every day. Another small rash started on my wrist, and after just a day, I'm seeing significant improvement.  So I'm here to order another jar. It's definitely worth the price.",CP,,16,1,5,1,20-03-2014 09:42
,"Love, love, love the Emuaid product line! My husband used EmuaidMAX on shingles with great satisfaction; my teenage son uses the Overnight Acne Treatment with literal"" overnight success (we still giggle about how amazing it is EVERY time!); we use EmuaidMAX on any and all types of skin bumps or blemishes; teenage son also uses EmuaidMAX and Overnight Acne Treatment on sports helmet chin guard rash which works amazingly well. We are now going to try First Defense Probiotic for recent GI issues that just won't go away.""",Anonymous Customer,,16,1,5,1,22-02-2014 13:32
,I don't believe I have ever been so anxious to receive a product.  I am almost driven mad / suicidal by an extremely intense itch on my chest.  It comes and goes and I have tried numerous OTC products but shy away from the harsh chemicals.  I read the reviews for the Emuaid Max and ordered it on 3-26-2014.  Blazing fast shipment - received within 3 days!!! Used it at once and gained immediate relief - finally.  Email confirmation and notification of shipment were right on.  NOTE:  I also placed an order the same day for the First Defense as it appears going forward  that may alleviate the itching issues.  I will provide a review in about one month.  Thank you so much for your perfect product and service!  I will be ordering MORE and look forward to doing business with you. Blessings!,bjmcphail1@comcast.net,9057,16,1,5,1,29-03-2014 16:08
,"My daughter has Molluscum for more than two years and nothing seems to make them go away....only EmuAid was able in 1 month to remove them without any trace!!!
Thank you so much for this miracle cream....we use it at home for any skin condition and it works from the moment you apply it on the skin....Great Product.....Thank you EmuAid team...",Micheline,5133,16,1,5,1,27-04-2014 02:24
,"Dear Emuaid, Love your product. There are five people in my house including my grandson that is 2 years old. Are thankful for this amazing product. We became effected with micro bites and it was horrible. Cleaning and washing clothes was a night mare . 
Couldn't sleep of all the bites and itching. We try soaps it was working but our skin was getting very dry .  So dry that we had it all over again. My son started searching online and found EMUAID!! He read the reviews and the natural ingredients which I like dealing with than chemicals. Cause we already had severe skin damage. We started Emuaidmax and Emuaid soap and quickly in 24 hours we all felt a huge difference. The redness went away and the skin was healing in the 3rd day. When I feel a bite I apply it and its gone in minutes. Wow, love it. Even my 2 years old grandson said it was powerful stuff. He was a happy camper after Emuaid. We, house hold of 5, Thanks you.  I'm ordering more cause it also healed eczema for my husband, son and grandson. Again THANK YOU","nilda-June 3, 2014",,16,1,5,1,03-06-2014 01:35
,I have been using the emu aid max & the moisture bar soap for several months and my skin is looking great. Products arrive quickly and I haven't a negative to say:),Anonymous Customer,,16,1,5,1,11-06-2014 10:18
,"I have suffered with ingrown hairs scars for over 25 years!  They were not only on my face but all over my body..  I spend money going to doctors, laser treatment to no avail.  I prayed to God for a solution to this problem.  One night I typed in chronic ingrown hairs and this product came up!  I have been using it  for 10 days now and see a major difference.  I also ordered the therapeutic soap.  This product is a true answer to my prayers! I can wait to see my skin in a month.  God bless  you for making such a wonderful product and changing my life!",Gloria,,16,1,5,1,11-06-2014 14:39
,"THIS STUFF IS AWESOME,I WISH I KNEW ABOUT IT YEARS AGO. IT WOULD HAVE SAVED ME LOTS OF MONEY.",Anonymous Customer,,16,1,5,1,23-06-2014 09:33
,"Although when you have skin issues you need imidiate relief,delivery was timely and the product is excellent ,the soap is a moist bar not harsh on the skin and like wise the cream completed the job
Great product I do recommend ! Thank you
Probiotics used along with this product beats the chemical intake.and is a great way to heal....",Cleopatra g,,16,1,5,1,07-07-2014 09:35
,"I will be a lifetime user of emuaid products. The ingredients put together to make these products are amazing. The shopping experience in purchasing emuaid is fast, and easy. Keep up the amazing and miraculous work, Emuaid! I thank you many times over.",Victor,,16,1,5,1,07-07-2014 09:36
,"Sunday a week ago I was taken to the ER. I was very sick with a Fever, Rash and Severe Pain. I was told I had The Shingles. The Shingles rash started in the center of my back, then wrapped around a nerve line on my left side under my arm and under my right breast. I researched Shingles and found your Website. Thank God! What a blessing to have found your Website. I immediately ordered the EmuaidMax ointment. I kept the Rash site clean with just running water from the shower. I did not scratch or rub the rash. I also kept my hands sanitized. I wore white cotton T-Shirts to prevent any fabric from irritating the skin. After only 1 week. the terrible Shingles Rash is beginning to scab and heal. Many of the blisters have disappeared completely. I still have pain and some scabbing. We apply the EmuaidMax to the Shingles Rash several times daily. With time we believe most if not ALL of the Rash will disappear completely. I highly reco mmend EmuaidMax for The Shingles and I am very grateful to have found your product. It is extraordinary! EmuaidMax has soothed and even relieved a lot of the severe pain associated with The Shingles Rash. Thank you EmuaidMax!!!",Tamara S,,16,1,5,1,09-07-2014 12:23
,"This is my second order and I was more than amazed by the results. I recently got very sunburned, I was actually wondering if I should go to the ER, I remembered I had your Emuaid that I ordered and applied it to my burnt legs, immediately the pain went away and my legs felt normal, I could actually walk without pain. My legs are still very red I am sure it will take time to heal. 

My daughter got stung by a bee a day later and I applied the ointment and again the pain went away and the next day the bit was almost gone. I am very amazed at the results and especially since I prefer to use only natural ingrediants when possible.

I am so glad I came across your site by accident, it has been a blessing to find you!",Janie S,,16,1,5,1,09-07-2014 14:56
,i have  been using emuade     since 2012  it is a great product. all of the burning  itching  pain    gone upon contact with the skin a  bit  costly  but worth  every  dollar.,sonia august 20 2014,,16,1,5,1,20-08-2014 19:45
,"2ND TIME IN PURCHASING EMUAID MAX AND IS BY THE BEST PRODUCT EVER BOUGHT AND WOULD AND DO RECOMMEND THIS TO FAMILY AND FRIENDS. KEEP THE UP THE GOOD WORK
THANK YOU REGARDS KELLI",KELLI T,,16,1,5,1,26-08-2014 10:28
,"I contacted Molluscum contagiosum on my chest and googled to find a remedy and came across this natural ointment. The product works. If I could upload a before and after picture, I would.",WC,,16,1,5,1,02-09-2014 16:38
,"so, I have had cysts recurring for years in generally the same area. groin, and behind my ears. the Dr biopsied the cyst and sure enough, it is HS. HS is very awful and is not cureable. I was so fed up with the itching, the stabbing pain and pressure in my grointthat I was desperate for relief. I have had a cluster of cysts in my groin for years and they just get worse. I found this site with testimonials  from other HS sufferers, and with my desperation I immediately ordered this product. I had a lot of hope and faith and it surely works! I can't even begin to tell you about my disbelief in this product because it is truly a miracle! I am so shocked that emuaid max literally began working the moment I applied it. it calmed my skin took away the inflammation and best of all it made one cyst go away and one start to drain! thankful for relief after years of suffering!!!!",Kelli M,,16,1,5,1,02-09-2014 18:52
,"and might I add that after 1 week of using this 3 x a day the cyst started to drain, after years of being there being a pain in the groin, literally, shockingly, began to drain and relief set in. I am amazed and forever grateful I found this product and will definitely definitely reccomend and spread the word of this miraculous product! thank you emuaid!",Kelli M,,16,1,5,1,02-09-2014 18:59
,"I ordered Friday and had to wait two business days to receive my order, but the two day wait was worth it. I tried the EmuaidMAX and was thankful for the immediate relief. I have passed the good news to several friends and my doctor. It's definitely worth the money.",Lynn S,,16,1,5,1,12-09-2014 09:27
,"My son contracted Molluscum and we did one treatment in the hospital to only have the spots spread rather than disappear.  Not only that, but having the spots frozen off was extremely painful to my son.  I really wanted to take a more homeopathic approach to getting my son relief and getting rid of the Molluscum.  When I found Emuaid Max I was a little hesitant but really sold on the 30 day guarantee and positive reviews.  My son was also born with congenital heart disease so I am very concerned with keeping him healthy.  It took about two months for the spots to disappear and that I because I was not very consistent at times.  He had them on his belly, thighs, and arms.  The Molluscum is gone and there is not one scar on his body.  We even have half a jar left.  I went with the Emuaid Max because I was eager for fast relief.  I would recommend this product as a first resort to getting rid of Molluscum.  No pain and left no scars on my kiddo!",Rachel,,16,1,5,1,23-09-2014 22:42
,"Emuaid is a pure miracle life changing product!!! I will definitely look forward to not only being a lifetime loyal committed customer but also I plan to enlighten others about the products that Emuaid has to offer. If I could rate my satisfaction level it would go above and beyond 5 stars!!! 

Signed: A truly satisfied customer :)",Anonymous Customer,,16,1,5,1,20-10-2014 15:59
,"I have suffered from severe hidranitis suppurtiva for a few years now, having large cysts and boils underneath my breasts, underarms and groin area. I have tried everything my dermatologist has recommended, with little to no relief. I would get flare ups every week, and be in constant pain and drainage and I am only 26 . I hated it. I had seen this online while looking for things to manage HS, and just never tried it because I was worried it would not work. I finally broke down and purchased the emuaid max, because I do have HS severely and thought it would stand a better chance of working. I use it religiously morning and evening, just a little all over my affected areas. I cannot believe how well this works. I have one flare up a month now, I can shave my arm pits again, the cysts and boils are few and far in between. I am no longer in pain every day! This stuff is a miracle, I will continue to purchase!",pinkvintagelove,18274,16,1,5,1,22-11-2014 19:11
,This product is AMAZING!!! My son had molluscum contagiosum and it cleared it up completely within 3-4 weeks of using it 2-3 times daily. This lasted over a month. Doctors were wanting me to pay $300 for a medication! This saved me so much money. Thank you so much! I would recommend this product to anyone with a skin issue. It's amazing!,Anonymous,,16,1,5,1,29-11-2014 23:22
,"It has helped with my venous leg ulcers causing them to scab over and helped to curtail the infection that had taken hold (MRSA) but its taken over 5 weeks to do so. The amount you get for $58.00 is not enough for my money though. I do recommend this product, just be prepared for a little for a lot.",David,18366,16,1,4,1,29-12-2014 23:12
,Used other prescriptions for years that didn't work even close to Emuaid. Wonderful product. 100% satisfied. THANK YOU!,Melo,,16,1,5,1,10-01-2015 22:44
,I have fallen in love with Emuaid.  The only thing is it so expensive.,Mary D.,22286,16,1,5,1,26-01-2015 12:56
,I used emu aid regular on my toe fungus. It stopped the tingling and burning in the first 2-3 days. With continuous use its disappearing.  Still need to use it until nail grows out.  Cheaper than laser and won't harm your skin. Highly recommend it!!! I'm going to purchase emu aid max next!!!!!,Eileen,24754,16,1,4,1,18-02-2015 21:25
,I bought this when my daughter contracted molluscum contagiosum.  I was pretty devastated.  She was four at the time and had it fairly bad - all down the side of her body.  I was terrified she would get it on her face and that kids would be mean.  I spent hours on the computer scaring myself more (they didn't really bother her that much).  We became diligent in hand washing and I wanted so badly to get rid of it as fast as I could for her.  I purchased several remedies promising a miracle cure.  This was the only product that seemed to help at all.  It did absolutely nothing for the spots that were more advanced however you can tell when new spots are beginning to show up and it did seem to keep them at bay without getting much worse and it I caught it right away and put this on there it did seem to work.  i am glad this worked so well for other people  but my experience was that it only worked on places where they were beginning to show up but that did certainly help as she did get a few spots that tried to come up on her face and this did seem to make those go away.  In the end  the others went away better if I just left them alone which is what her peditritian told me to do in the first place.  It took about 10 months to go away.  I know this is a review for a product but I also have some advice - kids are resiliant and if your child has this don't panic like I did.  I suffered in all areas of my life for close to a year stressed out to the hilt about this - it will go away and your child will be fine but it can take awhile.  I do recommend this product if your child has a stubborn case as I do think it kept it from getting worse than it already was.,Lisa,,16,1,3,1,16-03-2015 06:54
,"I need to tell you that I would like to add my accolades to your reviews. received my Emuaid cream and soap this past weekend and couldn't wait to get home to apply it. I have been in such pain and major discomfort for many months. Nothing seemed to work. From the first moment after application of the cream I felt a difference. It has now been only four days and I am pain and itch free!  It is a miracle. How can I ever thank you, my life has been changed",Jo,,16,1,5,1,01-05-2015 14:49
,Did not work. Followed directions exactly and it made my folliculitis worse. Because I purchased it on amazon i was able to get a refund.,Greg,,16,1,1,1,18-06-2015 02:09
,Does this help for staph infections? please let me know!!! I am dying of this ugly infection. I hate it soooo much. It's making me depressed. Seems like it won't go away! And these antiobiotcs aren't working.. Please email me if anyone has info on this.,Selena,,16,1,5,1,21-09-2015 20:47
,I chatted with the Live Chat people several times about my very itchy foot and thick toenails.  I was assured that this product would cure my condition.  I have been faithfully applying it to my whole foot 3 &amp; 4 times a day for 2 months  but have not seen any improvement.  It has been a total waste of $348.  Unfortunately there is only a 30-day money-back guarantee so I am totally out my money.,Nancy,30148,16,1,1,1,30-11-2015 10:34
,I have suffered with Boils HS for years.  I have had several surgeries and it always came back.  I had 17 good years and then it came back with a vengeance.  A special friend of mine bought this medicine EMUAIDMAX and ask me to use it.  I did and OMG it has made a big difference in my life.  Only people who suffer with this HS knows what I am talking about.  This is my first Jar and I plan on getting the soap and the anibotics pills to take as well to heal me of this horrible disease.  God is good and I am so grateful and thankful that I am getting my life back.  I have not been able to be loving and affectionate to my husband for many years because of this horrible skin condition.  I am looking forward to being the loving sweet person that I know I can be without the skin condition that I have suffered with for many years.  THANK YOU SO VERY MUCH EMUAIDMAX and my special Friend Ms. X.  God bless you all,Muryl,,16,1,5,1,11-12-2015 13:21
,"I have had flat warts on the top of my nose for yrs, I kept pulling the top off them and they spread. I have been putting Emuaid Max on them for 6 days and it is working amazingly well. Just about all the roughness is gone and I can tell the skin is healing well from the inside out. I will always keep this product. I am gonna order the soap also. A very happy customer.",Carol Turner,,16,1,5,1,16-12-2015 08:14
,"OMG ! Anyone who suffers from fissures , hemorrhoid things like that you know what pain is ! I suffered for 2.5 months everyday on the couch , unable to live my daily life because I was in so much pain . I finally broke down and went to the doctor this was a total waste of time and money ! No help ! I researched all kinds of different things on line and then I came up on Emuaid Max ointment and soap ?? I ordered these two products and finally let the angles sing ! I washed in the soap and put the ointment on after my shower and within 2 minutes I felt immediate pain relief and after the second day I felt normal like nothing is even there !! This product is definitely worth buying over and over !!!! Thank You for saving my sanity Emuaid !! Love this stuff I rate this product as PRICELESS ÔØñ´©Å",Jennifer Brown,,16,1,5,1,19-02-2016 10:24
,"Hi I am 54 years old last year around May I was on a cruise and experienced severe bleeding and pain after a bowl movement. I went to see a doctor after my cruise and was diagnosed with anal fissure and was told that it was at severe stage. My doctor recommended surgery. I began searching the internet and ran across this product Emuaid. The testimonies was remarkable and also too good to be true. So I decided to order and try it. I started using Emuaid in May 2015 and recieved immediate relief of pain and itch. After about 1 month my pain was gone but still little blood after each bowel movement. By February 2016 I have no pain or bleeding after bowel movement. I feel completely healed. In about 6-9 months my symptoms of pain, burning and itch was completely gone! I love this stuff, and keep it in my medicine cabinet for conditions that may arise in the future. Thank you so much!!!!",Happy Camper,35363,16,1,5,1,04-03-2016 09:16
,"Excellent Product that actually works 

Thanks Emuaid",aidakwoji,15908,16,1,5,1,20-03-2016 14:11
,"I recently bought emuaid max for my daughters excema on her hands .After reading all the good review I thought I'd finally found something that might work, how wrong could I be . This product made her skin cracked and dried out, red and worse than it was before.she only used it for two days and now she is going to her GP to get help for her very sore cracked itchy hands.",Joanne,,16,0,4,1,11-04-2016 15:10
,"This product is a surgeon in a bottle. I have an anal skin tag for years, and nothing helped. Not even the doctors; but Emuaid did. I have felt great recovery and I would recommend this to anyone with a skin condition. Its the best!",Nigel Brown,,16,1,5,1,13-04-2016 18:46
,"I have been suffering from severe hemmorhoids, and after two months of trying to deal with the pain I finally went to a Dr. I was diagnosed with a pretty severe anal fissure. He recommended creams, suppoisitories, and if it wasn't better in 3 weeks, surgery would be a opption. I started researching my diagnosis on line and came to your site. I ordered the emuaid max, I have been using it for three days now. My pain has eased some what. I definitely notice a difference. I hope and pray that this keeps up. The medicine the Dr prescribed was way more than this,and it did not work. Thank you so much. I will tell everyone I know,about this product. If you can avoid surgery it is so with it. The miracle in a jar.",PCaracciola,36398,16,1,5,1,14-04-2016 23:02
,"Valtrex for one week and Gabrika100 - 3 tablets daily only diminished partially my thorax Shingles ...l could not support anymore ,l had to make searches myself and l foud EMUAID MAX... l ordered 1 jar and 2 hours after first application my pain started to diminish 6 hrs later after 2 others application ,had no more pain and next day l stopped all medicines and paracetamol codeine anti inflammatory ...l ordered 2 other jar for lasting treatment ..Just one word Thank you guys for this product ,may God Bless you and keep to help people avoiding and treating  Shingels pain and simular..",Samir Georges Aoun,,16,1,5,1,21-04-2016 19:30
,I had ingrown toenail and fungus on one foot and an injured toe and ingrown nail on the other. I had been prescribed a pill to help to no avail. The pain was waking me up at night and it hurt to wear shoes. Out of desperation I ordered the max and it immediately took the pain away so that I can wear shoes and be pain free and can sleep at night. It is healing my toes and my nails seem to be becoming natural again. Thank you!,Georgia,36616,16,1,5,1,30-04-2016 23:07
,I have been trying for days to get through to someone but this is the only way I have found  so I hope someone can answer my request.  I brought a jar of emuaid max still waiting for it to arrive.  The order no is 153224 have kept a check on tracking why does it go to Belgium and then back to Fort Lauderdale been well over a week now and I'm getting a bit anxious I am down under but should be here by now.  Wish to also check my invoice cannot find it anywhere on you sites think I have been overcharged hope I have not been done   thnks Linda,linda conley,,16,0,1,1,13-05-2016 00:24
,"My  22 year old daughter always had beautiful skin but in the last 3 months her face broke out on her back and her face, it was pretty bad!   I went on line and the first thing I saw was Emuaids 24 hour promise to clear up skin acne. Well 6 days later my daughters skin is clear and beautiful once again!!  I first thank God for bringing my eyes to this product and secondly thank Emuaids products! It truly works and I will be telling everyone about this product!",Graciy,,16,1,5,1,22-05-2016 11:50
,"I just ordered Emuaid for my shingles. I've had it only for 4 days and it's getting worse. I went to urgent care twice because the drug they prescribed I was allergic to. My lips started swelling with blisters. First I had one blister on the right side of my face, then other blisters started appearing..after taking only 2 pills, it got worse so I went back to urgent care and they told me to stop taking the drugs they prescribed and the other drugs similar to it i may be allergic to it too. So i check the web for shingles treatment and I found Emuaid. I just sent for it and I hope I get it soon. If it improves my condition, I will surely write a raving review. I was told there is no cure for shingles because it's a virus...so we'll see. I can't put a rating on this yet till I try it. So I'll give it a 1 for now.",Jane,39944,16,1,1,1,16-06-2016 13:56
,"My husband also has been suffering with rashes and itching all over his body and he has been to countless doctors and none of them have found a solution to his skin problems. He was told he has excema and was given steroid creams. None of them work. I ordered this Emuaid for my shingles, but I will also try it for his excema. If it works for him as well...then we have found a miracle cure.So again...I will give it a rating of 1 for now because we haven't tried it yet. But if it works, it will receive a top rating.",Jane,39944,16,1,1,1,16-06-2016 14:01
,"WOW! WOW! WOW! Two weeks ago, I got a case of shingles without the rash. The doctor prescribed me valacyclovir. After a week the blisters started to form. At this point, I was in extreme discomfort and start to research remedies online. That's when I stumbled on Emuaid. With all the positive feedback on their site, I figured it was paid reviews and/or fake. Then I went to Amazon and other sites, and most of the people just raved about this product. I purchased it with the mindset that it's probable snake oil. So needless to say, I didn't have huge expectations going in. I ordered the extra strength, because... go big or go home... ;). I bought on the Walgreens site because they had free 3 day shipping and was a few pennies less. The first time I applied it, I noticed the burn sensation of my skin decrease about 30%. I applied it to my back of the blistered area of 3x 6. The blisters stopped dead in their tracks and 3 days later  they were gone! Yes  it's safe to say I am a huge advocate of Emuaid now! I started to read about all of the other uses and saw it was good for anal fissures. Again  after only 3 days of application and the bleeding has stopped and the openings have all closed. I absolutely love when a product actually works as promised. 5 Stars for sure!",John Z.,,16,1,5,1,28-06-2016 10:16
